file,line,function,primitive_calls,total_calls,self_seconds,cumulative_seconds
<frozen importlib._bootstrap_external>,1524,find_spec,24,24,2.1588e-05,0.007025601
<frozen importlib._bootstrap_external>,1495,_get_spec,24,24,5.6109e-05,0.007004013000000001
<frozen importlib._bootstrap_external>,1187,get_data,23,23,7.1789e-05,0.006817967
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/statsmodels/tools/tools.py,1,<module>,1,1,1.4679000000000001e-05,0.0067762840000000005
<frozen importlib._bootstrap_external>,1597,find_spec,28,28,0.000259937,0.006728645
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/dtypes/common.py,1200,is_bool_dtype,1605,1605,0.002499704,0.006723176000000001
~,0,<method 'nonzero' of 'numpy.ndarray' objects>,520,520,0.006557844,0.006557844
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/dtypes/generic.py,37,_check,11613,11613,0.00411476,0.0063847850000000005
~,0,<built-in method builtins.max>,200,200,0.006121666,0.0061708660000000005
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/frame.py,682,_constructor_sliced_from_mgr,465,465,0.000972093,0.005997563
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexes/base.py,650,_simple_new,1170,1170,0.004216821,0.005756064
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/statsmodels/stats/_knockoff.py,1,<module>,1,1,8.31e-06,0.00568103
~,0,<built-in method numpy.zeros>,78,78,0.005584157,0.005584157
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/dtypes/cast.py,1166,maybe_infer_to_datetimelike,429,429,0.003874344,0.005535488000000001
<frozen importlib._bootstrap_external>,140,_path_stat,99,99,4.235e-05,0.0055290650000000005
~,0,<built-in method posix.stat>,99,99,0.0054867150000000005,0.0054867150000000005
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/internals/managers.py,977,fast_xs,384,384,0.003059743,0.005486052
~,0,<built-in method numpy.empty>,1968,1968,0.0052729100000000004,0.0052729100000000004
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/scipy/stats/_continuous_distns.py,436,_sf,16,16,1.221e-05,0.005255065000000001
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/scipy/stats/_continuous_distns.py,382,_norm_sf,16,16,0.000172577,0.005242855
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/numpy/lib/function_base.py,5369,insert,177,177,0.002376998,0.005211586000000001
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/frame.py,5264,_sanitize_column,80,80,0.00040656400000000005,0.005194516000000001
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/array_algos/take.py,564,_take_preprocess_indexer_and_fill_value,481,481,0.0006056670000000001,0.005159534
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/numpy/core/numeric.py,274,full,835,835,0.0033851320000000003,0.005136019
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/scipy/sparse/_base.py,1525,_get_index_dtype,88,88,0.000894832,0.005118968000000001
~,0,<method 'copy' of 'numpy.ndarray' objects>,852,852,0.005084458,0.005084458
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/scipy/stats/_continuous_distns.py,370,_norm_cdf,16,16,0.005070278,0.005070278
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/dtypes/common.py,538,is_string_dtype,953,953,0.0009724450000000001,0.004958606
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/numpy/core/fromnumeric.py,2322,any,401,401,0.0011097700000000002,0.004930783
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexes/multi.py,3001,get_loc,172,172,0.0022625830000000003,0.004882027000000001
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexers/utils.py,419,check_array_indexer,391,391,0.0019160260000000001,0.004766149
~,0,<built-in method numpy.asarray>,3227,3310,0.002366965,0.004749042
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/internals/blocks.py,276,make_block,384,384,0.0016526090000000002,0.004707729
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/internals/construction.py,237,ndarray_to_mgr,48,48,0.001192196,0.004594286
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexing.py,2801,check_dict_or_set_indexers,954,954,0.0016509950000000002,0.004553748000000001
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/dtypes/cast.py,550,maybe_promote,401,401,0.004321832,0.004550057000000001
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/dtypes/common.py,1444,_is_dtype_type,1480,1480,0.002068209,0.004481639
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/scipy/sparse/_base.py,1512,_process_toarray_args,24,24,5.0910000000000006e-05,0.004452432
